No.	Player	Pos	Ht	Wt	Birth Date	Birth Country	Exp	College
24	Mark Aguirre	SF	6-6	232	December 10, 1959	US	1	DePaul
22	Rolando Blackman	SG	6-6	190	February 26, 1959	PA	1	Kansas State
23	Allan Bristow	SF	6-7	210	August 23, 1951	US	9	Virginia Tech
42	Pat Cummings	C	6-9	230	July 11, 1956	US	3	Cincinnati
15	Brad Davis	PG	6-3	180	December 17, 1955	US	5	Maryland
20	Bill Garnett	C	6-9	225	April 22, 1960	US	0	Wyoming
44	Scott Lloyd	C	6-10	230	December 19, 1952	US	5	Arizona State
40	Kurt Nimphius	C	6-10	218	March 13, 1958	US	1	Arizona State
14	Kelvin Ransey	PG	6-1	170	May 3, 1958	US	2	Ohio State
34	Jim Spanarkel	SG	6-5	190	June 28, 1957	US	3	Duke
25	Corny Thompson	PF	6-8	225	February 5, 1960	US	0	UConn
33	Elston Turner	SF	6-5	190	June 10, 1959	US	1	University of Mississippi
31	Jay Vincent	PF	6-7	220	June 10, 1959	US	1	Michigan State
